dexy - INFO - starting logging for dexy
dexy - INFO - using config file 'dexy.yaml'
dexy - INFO - (state:running) 98defd6ee70dfb1dea416cecdf391f58 bundle:site: running...
dexy - INFO - (state:running) 16598965d558f778e4f7abaab958a3e3 pattern:*.md|jinja|pandoc: running...
dexy - INFO - (state:running) 5dfc845b877e3fa9d3b50008a9d414f3 pattern:*.html|htmlsections: running...
dexy - INFO - (state:running) b67da394935eeaa91dcea13aabb46f5d pattern:*.scss|idio: running...
dexy - INFO - (state:running) 5f94fd44996d0e10099c4dee062a8c77 doc:views/pattern-library/sass/components.md|jinja|pandoc: running...
dexy - INFO - (state:running) ee43288a3694576ef6258ac28e3d7c9a doc:views/docs/htmlCodingStandard.md|jinja|pandoc: running...
dexy - INFO - (state:running) a4899d6c6b479444e5cee8f0eefd34c3 doc:views/docs/tests.md|jinja|pandoc: running...
dexy - INFO - (state:running) 401b4bb1d64f59c777e1bf7b25842fd6 doc:views/docs/docs.md|jinja|pandoc: running...
dexy - INFO - (state:running) 837f9cbb6bff6652c91b93af16aae04d doc:views/docs/archetypeModules.md|jinja|pandoc: running...
dexy - INFO - (state:running) e32704144f309b024017e0c2e3b392e8 doc:views/pattern-library/sass/colorpallet.md|jinja|pandoc: running...
dexy - INFO - (state:running) 077ec4479482769e200aa65bea38ae3b doc:views/docs/architecture.md|jinja|pandoc: running...
dexy - INFO - (state:running) 6f388d8ea6adcd16ae783a2c9c00be98 doc:views/pattern-library/sass/layout/breakpoints.md|jinja|pandoc: running...
dexy - INFO - (state:running) eeee09656af69602d6d134e1b7c5d639 doc:views/pattern-library/sass/objects/README.md|jinja|pandoc: running...
dexy - INFO - (state:running) 8f1bcc8d30d25348a29be970351a3e26 doc:views/docs/performanceTesting.md|jinja|pandoc: running...
dexy - INFO - (state:running) 0430cfbe2f3ac82f9baeaf2775d20404 doc:views/docs/README.md|jinja|pandoc: running...
dexy - INFO - (state:running) 6da054190e86b12be070810a5d56ece4 doc:views/docs/designPrinciples.md|jinja|pandoc: running...
dexy - INFO - (state:running) cab4438aebdb640c54c6ba8c7e7dc95f doc:views/docs/stylesheetCodingStandard.md|jinja|pandoc: running...
dexy - INFO - (state:running) df28fd3b2e5882f84b50e55e19d271e4 doc:views/pattern-library/sass/layout/layout.md|jinja|pandoc: running...
dexy - INFO - (state:running) 921241a8ce6d6fc433448e922a435851 doc:views/pattern-library/sass/main.scss.md|jinja|pandoc: running...
dexy - INFO - (state:running) 26d9e39731721e488e0fc2ddded4b603 doc:views/pattern-library/sass/objects.md|jinja|pandoc: running...
dexy - INFO - (state:running) 7cc4fe185b40351e78878ab9eb9df132 doc:views/docs/gettingStarted.md|jinja|pandoc: running...
dexy - INFO - (state:running) 66983e87a888075694646055618b0baa doc:views/pattern-library/sass/components/README.md|jinja|pandoc: running...
dexy - INFO - (state:running) 82cc67fbbfea487225d452a6b4aa97e6 doc:views/docs/frontendOps.md|jinja|pandoc: running...
dexy - INFO - (state:running) 69a8e7c6d00b2ec673f99db63082c10a doc:views/pattern-library/sass/utilities.md|jinja|pandoc: running...
dexy - INFO - (state:running) 60e1fbf2f545633e6348b1bb5160e97e doc:views/docs/test.md|jinja|pandoc: running...
dexy - INFO - (state:running) b10f159827a2de71b23545f0ee4a7148 doc:views/pattern-library/sass/index.md|jinja|pandoc: running...
dexy - INFO - (state:running) d7e8be9e815d8df57a4d91fe97d0a5e0 doc:views/docs/stylesheetTesting.md|jinja|pandoc: running...
dexy - INFO - (state:running) 505300235051b54694f83075120665c2 doc:views/docs/pe.md|jinja|pandoc: running...
dexy - INFO - (state:running) c266d44ddf09d1a578e39caf97c60379 doc:views/docs/addendum.md|jinja|pandoc: running...
